pathway	100CHE6KO	101CHE6WT	102CHE6WT	103CHE6KO	104CHE6KO	20CMK6KO	21CMK6WT	22CMK6KO	23CMK6WT	24CMK6KO	26CMK6WT	30CMK6KO	32CMK6KO	33CMK6WT	34CMK6KO	36CMK6WT	81CHE6WT	82CHE6WT	84CHE6KO	86CHE6WT	87CHE6KO	88CHE6KO	99CHE6KO	9CMK6KO
DAPLYSINESYN-PWY	295.8582	1018.1956	618.1965	590.4582	615.9551	471.2649	307.8297	578.3399	272.2866	1194.4703	801.114	1063.8917	33.0364	569.6605	298.2659	355.791	189.9058	171.6863	264.9105	158.4525	200.1473	72.9053	684.5683	438.2899
DENOVOPURINE2-PWY	981.5911	1212.5402	1049.4405	1148.3212	1226.9179	537.6468	829.1256	1856.5081	1061.2163	1532.1385	1090.4623	1210.076	884.5395	605.5152	548.0901	726.3189	946.6522	1006.4945	1610.1669	1302.4528	1632.8414	926.1292	1512.9561	371.5688
DTDPRHAMSYN-PWY	1398.7954	1565.9824	1297.7152	1555.4132	1560.4035	1555.0725	1327.792	2491.7527	1911.2082	3431.6319	1852.3535	2793.9944	1248.2435	1834.3793	1042.9982	2019.6273	1359.4667	1458.8895	2103.3342	1731.3952	2059.6891	1210.2691	1999.1197	1687.7756
FASYN-ELONG-PWY	1478.0934	1424.5873	1296.7206	1577.6901	1651.641	1585.6957	1469.1144	2827.9937	2081.2269	3431.0989	1879.6537	2626.1566	1311.0139	1754.6475	1083.9766	1999.63	1457.3317	1584.8925	2337.1458	1915.698	2314.0932	1293.203	2059.5746	1698.1798
FERMENTATION-PWY	331.0388	286.4101	628.6541	611.8976	41.2041	466.4612	361.4056	997.4219	575.0271	1468.207	964.664	1045.5743	615.0277	684.3978	365.5786	588.4426	50.399	145.6025	139.5046	156.0094	193.2262	42.8064	90.8459	448.5443
FOLSYN-PWY	1206.1049	1455.1488	1266.7773	1314.5913	1487.6533	1067.6153	735.6424	2290.9418	1791.5847	3047.0296	1453.4292	209.2223	425.0431	1467.9436	281.199	1895.5959	1216.4178	1373.9168	2043.59	1634.4566	2001.37	1007.7608	1757.2862	1613.5645
FUCCAT-PWY	0.0	0.0	0.0	0.0	0.0	21.9924	26.7292	240.1966	154.6359	149.5994	148.2299	0.0	0.0	132.7026	30.6098	138.7539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5525
GALACT-GLUCUROCAT-PWY	916.7685	967.1533	735.563	972.874	1054.4667	1205.3297	1072.3114	1578.7644	1276.4293	1944.532	1174.4705	2178.9149	874.1353	1240.3494	853.6309	1098.2073	937.0503	940.2059	1165.828	1106.9586	1272.7224	735.6321	1214.9491	894.6806
GALACTUROCAT-PWY	1008.528	1069.1532	906.1492	1228.7095	1124.4706	1431.8859	1128.1662	1767.8488	1408.3546	2342.26	1386.4446	2725.8433	930.6296	1413.5484	899.6143	1274.837	991.4417	1017.027	1276.6726	1242.9255	1470.6707	773.865	1287.9444	1152.2729
GLCMANNANAUT-PWY	237.7112	783.6889	610.5307	729.2154	406.4362	904.1407	565.8921	1557.3561	661.6839	1421.6936	1033.5033	2099.1814	973.8712	744.0576	428.8023	617.7986	121.5491	178.8388	281.916	296.6957	426.4719	42.5409	353.3885	676.3756
GLUCONEO-PWY	1461.6868	1510.8388	1304.7913	1606.1113	1623.7604	1745.2567	1553.8638	3049.5758	2273.8001	3843.1541	2059.5249	3015.6893	1460.0436	2029.0151	1171.4215	2300.3483	1468.9405	1587.5269	2296.4185	1879.7782	2259.1697	1268.1094	1995.8083	1915.5678
GLUCOSE1PMETAB-PWY	0.0	0.0	0.0	0.0	0.0	33.0032	40.7813	376.3618	253.8592	225.52	221.3279	0.0	0.0	200.0101	46.3848	214.8844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.3318
GLUCUROCAT-PWY	941.5791	1000.629	735.6942	944.3342	1117.3683	1174.1227	1079.0934	1631.5906	1328.5903	1975.7307	1167.5793	2040.7203	906.2699	1261.6973	852.5753	1159.1277	987.2173	1000.3033	1271.7367	1148.2654	1311.8807	776.1934	1282.0367	894.7709
GLUTORN-PWY	1223.3131	1163.0026	1025.1835	1229.3511	1402.1528	1251.5692	1170.9994	2059.8475	1737.8067	2749.0988	1365.8173	2224.4005	884.9078	1446.1116	867.4846	1717.0266	1262.2328	1365.9945	1973.0622	1591.5522	1902.0699	1063.0133	1699.9397	1438.5317
GLYCOCAT-PWY	1431.6572	1732.455	1473.4514	1774.2622	1715.5615	1758.1413	1439.9707	2689.8257	2056.9606	3515.9529	1942.6817	3329.8619	1164.3878	1847.2529	1090.9478	2012.4005	1410.3692	1505.2339	2171.2354	1830.3001	2238.8521	1180.7405	2009.4093	1796.426
GLYCOGENSYNTH-PWY	717.6413	1377.7506	1143.4237	1591.3422	909.6436	1365.9789	781.3632	1709.0547	849.6817	1961.9663	1309.8948	3135.9041	772.5725	896.4388	742.9029	626.9671	287.2847	375.209	561.19	692.6744	988.9884	94.9929	865.6187	1135.5266
GLYCOLYSIS	1359.0284	1659.2419	1379.7121	1601.4466	1679.8068	1793.6295	1572.1989	3046.3304	2207.0954	3797.9869	2192.8143	3133.5868	1466.4743	2062.743	1208.6585	2210.1691	1370.1213	1437.5831	2018.8794	1658.4162	1954.9313	1174.9014	2003.3477	1748.766
GLYCOLYSIS-E-D	851.4877	0.0	160.7393	777.2347	446.6852	307.7624	1007.3957	468.3765	408.179	2125.9568	1276.6442	1824.4445	620.869	350.9292	770.8459	294.9067	880.9313	260.2402	231.725	507.6467	467.6039	985.098	1314.6401	438.2668
HISDEG-PWY	431.0	55.33	352.0	379.0	373.0	181.0	91.0	530.0	501.0	941.0	240.0	19.0	50.0	284.0	7.0	699.0	407.67	603.67	1085.67	735.33	940.0	362.67	514.33	678.0
HISTSYN-PWY	1407.2844	1597.9914	1335.2393	1617.0513	1634.9354	1565.8683	1350.5871	2361.4849	1944.1655	3271.8882	1745.5475	2818.9954	970.277	1697.9895	1023.1132	1909.2055	1403.9291	1477.8573	2114.2811	1761.9915	2119.9659	1219.5613	1995.5394	1661.6794
HOMOSER-METSYN-PWY	201.8398	0.0	20.7692	154.0232	66.9844	41.2394	242.2158	61.8818	55.8504	467.0799	288.8381	396.199	103.4031	47.036	181.3381	38.4402	216.4522	35.3909	29.7051	78.4601	67.4681	400.0888	343.7405	64.2543
HSERMETANA-PWY	204.7838	0.0	20.7992	155.6412	67.1287	49.0415	243.0702	518.4532	356.4742	471.834	312.4819	402.0384	102.7775	283.0566	182.8148	304.2511	218.6807	35.4498	29.7368	78.821	67.7032	412.6713	348.3756	64.3839
ILEUSYN-PWY	1596.8487	1861.0025	1571.9401	1905.7419	1843.6543	1813.6127	1554.6713	2743.7992	2186.4584	3777.8922	2043.7877	3390.4623	1132.2348	1896.6741	1167.4486	2128.4864	1569.9365	1639.2367	2361.0572	1979.4847	2395.3046	1397.7629	2272.9623	1916.2159
LACTOSECAT-PWY	0.0	14.3021	14.1863	9.4488	9.5125	97.1429	158.8571	442.2857	171.4286	126.8571	123.4286	194.2857	268.5714	22.8571	73.1429	53.7143	14.8772	33.2203	65.2213	14.5455	14.0606	7.5789	3.1877	54.8571
